time,u10,v10,d2m,t2m,sp,tp,Raw Conc.
2023-01-01 00:00:00,1.5657480727327755,-0.2943981704486008,280.6083277783142,281.656563106842,99376.62746158756,3.469446951953614e-18,93.0
2023-01-01 01:00:00,1.5863188131458483,-0.13513715409358543,280.45818431156255,281.3609415404081,99400.96227929306,3.469446951953614e-18,94.0
2023-01-01 02:00:00,1.541831020197022,0.039901916128242,280.4268308229173,281.39276142739175,99471.27210461174,3.469446951953614e-18,94.0
2023-01-01 03:00:00,1.7052944763294018,0.10204085459762446,280.48939060073053,281.7468723204542,99535.02832898991,3.469446951953614e-18,85.0
2023-01-01 04:00:00,1.2828809367499867,0.07299333405568285,281.0661549522991,282.501977288177,99610.9103784585,3.469446951953614e-18,109.0
2023-01-01 05:00:00,1.244839334208031,-0.015931284045107737,284.1648143471263,287.5494509572613,99640.85068732381,3.469446951953614e-18,112.0
2023-01-01 06:00:00,1.0421539871493377,-0.01132535346365783,284.08790262028543,288.86094534572334,99659.59664737443,3.469446951953614e-18,103.0
2023-01-01 07:00:00,0.9240343572994933,0.05359633473201726,283.58981638928424,289.1837302303141,99566.0997161901,3.469446951953614e-18,93.0
2023-01-01 08:00:00,0.7828537082476039,-0.16502087036608792,283.13533800340593,291.260030771555,99471.5049736807,3.469446951953614e-18,75.0
2023-01-01 09:00:00,0.5856936672519427,-0.5524262398969099,282.85687339239854,291.4638614888408,99408.71349258818,3.469446951953614e-18,83.0
2023-01-01 10:00:00,0.7102076067005545,-0.7862594656658765,283.7249823092301,290.13945570499504,99351.69383770472,3.469446951953614e-18,85.0
2023-01-01 11:00:00,0.47473358892039363,-0.9446294537834088,283.66245933128624,289.8268658839723,99340.59928991963,3.469446951953614e-18,71.0
2023-01-01 12:00:00,0.06685964581200904,-0.9772685035287428,284.1198817067087,289.55495048611164,99372.58551989075,3.469446951953614e-18,96.0
2023-01-01 13:00:00,-0.41299891854010434,-0.7289594959323623,284.15193439287066,288.62836384363527,99411.9570260486,3.469446951953614e-18,111.0
2023-01-01 14:00:00,-0.7567870934385315,-0.46724394039354733,283.85370825204814,286.7014615522567,99462.68921607036,3.469446951953614e-18,201.0
2023-01-01 15:00:00,-1.2064769678784082,-0.2592094091313926,282.93098832917246,284.3029405590102,99526.84464456672,3.469446951953614e-18,149.0
2023-01-01 16:00:00,-1.4746229245618039,0.10145140514821267,282.8081135655735,284.31444087293113,99534.06358570425,3.469446951953614e-18,184.0
2023-01-01 17:00:00,-1.4523530876833386,0.4525987794768471,282.5342121383595,283.6981157670641,99548.01909633644,3.469446951953614e-18,216.0
2023-01-01 18:00:00,-1.2084224981822926,0.6573707765771414,282.2924001971768,283.5401451973158,99540.16808201178,3.469446951953614e-18,217.0
2023-01-01 19:00:00,-1.1695378325086534,0.7904766871303519,282.28242743259585,283.57446975389576,99541.76489848457,3.469446951953614e-18,227.0
2023-01-01 20:00:00,-1.0787075077212962,0.8722182468243573,282.1568662785379,282.9044882754098,99487.27353634976,3.469446951953614e-18,244.0
2023-01-01 21:00:00,-0.6905612418943009,0.7191395956248002,282.0214795593762,282.693072995262,99470.73983245414,8.30803075385603e-07,251.0
2023-01-01 22:00:00,0.5049152490346559,0.7525188842135817,281.96403496339593,283.1474059492122,99433.1813783331,1.730839740413888e-07,247.0
2023-01-01 23:00:00,0.6982101698265998,0.7030873792233782,281.89658080296556,283.11950181328746,99391.91365261377,3.469446951953614e-18,226.0
2023-01-02 00:00:00,0.637820909194023,0.6720110559253215,281.85245775967263,283.24226590054155,99455.7696780215,3.469446951953614e-18,237.0
2023-01-02 01:00:00,0.8849940492015432,0.7836774562720209,281.7838996031632,282.9465737800346,99460.31062486606,3.469446951953614e-18,273.0
2023-01-02 02:00:00,1.0366805618944093,0.9316292680743692,281.84977136921356,283.0062272488699,99564.08706209416,3.469446951953614e-18,274.0
2023-01-02 03:00:00,0.8112714208863443,0.840086397768052,281.59162028606085,282.69300244118887,99656.17014535988,3.469446951953614e-18,263.0
2023-01-02 04:00:00,0.3870679934273554,0.5723666827212756,282.30697294542034,283.6412491841176,99737.70758650303,7.961862805781399e-07,300.0
2023-01-02 05:00:00,0.19623741102033204,0.5485967909705785,282.1925621517606,286.19322528643187,99762.27527327751,7.269526909630627e-07,330.0
2023-01-02 06:00:00,-0.035566039586500044,0.16098579953879896,282.0400634933736,287.01623854954676,99759.61391248948,3.461679481108349e-08,340.0
2023-01-02 07:00:00,-0.12669467902045267,-0.35154735078807914,282.2385619883881,287.52567423461494,99674.69986984652,3.461679481108349e-08,344.0
2023-01-02 08:00:00,-0.45772017512539737,-0.6525366894097931,282.64464854613453,288.94105949576766,99588.08920970118,3.469446951953614e-18,289.0
2023-01-02 09:00:00,-0.8272801414492817,-0.8193508835933171,282.4782763370206,288.9271250663236,99478.40787822462,3.469446951953614e-18,325.0
2023-01-02 10:00:00,-0.3022204230369176,-0.852332636506914,282.74349299507935,287.79385026659946,99424.61512329664,3.469446951953614e-18,322.0
2023-01-02 11:00:00,-0.2936471194977996,-0.676251748653568,282.634234183122,287.56910026662933,99420.80605066879,3.469446951953614e-18,302.0
2023-01-02 12:00:00,-0.29580017303409845,-0.18754332258430875,283.16135551100234,288.0046658371256,99475.14771125931,3.469446951953614e-18,286.0
2023-01-02 13:00:00,-0.35643586750516715,0.27025327770766006,283.3506908385606,288.1569920810231,99501.92765418881,3.469446951953614e-18,259.0
2023-01-02 14:00:00,-0.3591725801326316,0.5459922468917824,283.0019384771865,286.6896084679702,99578.95741549725,3.469446951953614e-18,226.0
