time,u10,v10,d2m,t2m,sp,tp,blh,t_level1,t_level2,Raw Conc.
2023-01-01 00:00:00,1.5657480727327755,-0.2943981704486008,280.6083277783142,281.656563106842,99376.62746158756,3.469446951953614e-18,57.7833100382747,281.6045243511042,283.68279108358905,93.0
2023-01-01 01:00:00,1.5863188131458483,-0.13513715409358543,280.45818431156255,281.3609415404081,99400.96227929306,3.469446951953614e-18,50.4165652298861,281.8562018577647,283.73301846794965,94.0
2023-01-01 02:00:00,1.541831020197022,0.039901916128242,280.4268308229173,281.39276142739175,99471.27210461174,3.469446951953614e-18,44.935764899172284,282.13591926594245,283.84395588216694,94.0
2023-01-01 03:00:00,1.7052944763294018,0.10204085459762446,280.48939060073053,281.7468723204542,99535.02832898991,3.469446951953614e-18,68.95807300656598,282.2555295415678,283.921353531535,85.0
2023-01-01 04:00:00,1.2828809367499867,0.07299333405568285,281.0661549522991,282.501977288177,99610.9103784585,3.469446951953614e-18,132.2275360200534,282.24554047355036,283.9485943076108,109.0
2023-01-01 05:00:00,1.244839334208031,-0.015931284045107737,284.1648143471263,287.5494509572613,99640.85068732381,3.469446951953614e-18,276.02177014161583,282.0481799932152,283.85601327485625,112.0
2023-01-01 06:00:00,1.0421539871493377,-0.01132535346365783,284.08790262028543,288.86094534572334,99659.59664737443,3.469446951953614e-18,633.1228279450135,281.7919662744903,283.58708406013733,103.0
2023-01-01 07:00:00,0.9240343572994933,0.05359633473201726,283.58981638928424,289.1837302303141,99566.0997161901,3.469446951953614e-18,869.7293756431794,281.54929068089007,283.84682333228017,93.0
2023-01-01 08:00:00,0.7828537082476039,-0.16502087036608792,283.13533800340593,291.260030771555,99471.5049736807,3.469446951953614e-18,1019.5607998455745,281.35063749763503,284.58914035626793,75.0
2023-01-01 09:00:00,0.5856936672519427,-0.5524262398969099,282.85687339239854,291.4638614888408,99408.71349258818,3.469446951953614e-18,1115.053900400022,281.1773918026784,285.1088774411378,83.0
2023-01-01 10:00:00,0.7102076067005545,-0.7862594656658765,283.7249823092301,290.13945570499504,99351.69383770472,3.469446951953614e-18,1125.6831123795605,280.99225324085876,285.35129449415393,85.0
2023-01-01 11:00:00,0.47473358892039363,-0.9446294537834088,283.66245933128624,289.8268658839723,99340.59928991963,3.469446951953614e-18,1097.0001368848095,281.0068020246301,285.4358372651156,71.0
2023-01-01 12:00:00,0.06685964581200904,-0.9772685035287428,284.1198817067087,289.55495048611164,99372.58551989075,3.469446951953614e-18,31.57879797587032,281.2127413516155,285.36076648100345,96.0
2023-01-01 13:00:00,-0.41299891854010434,-0.7289594959323623,284.15193439287066,288.62836384363527,99411.9570260486,3.469446951953614e-18,17.36556890465863,281.46681623460023,285.2370900671027,111.0
2023-01-01 14:00:00,-0.7567870934385315,-0.46724394039354733,283.85370825204814,286.7014615522567,99462.68921607036,3.469446951953614e-18,15.728915938400682,281.6761871002458,285.09486924222387,201.0
2023-01-01 15:00:00,-1.2064769678784082,-0.2592094091313926,282.93098832917246,284.3029405590102,99526.84464456672,3.469446951953614e-18,16.415370824910656,281.8963461593501,284.9483237384856,149.0
2023-01-01 16:00:00,-1.4746229245618039,0.10145140514821267,282.8081135655735,284.31444087293113,99534.06358570425,3.469446951953614e-18,17.705183427458334,282.0364046447994,284.7853491558199,184.0
2023-01-01 17:00:00,-1.4523530876833386,0.4525987794768471,282.5342121383595,283.6981157670641,99548.01909633644,3.469446951953614e-18,18.391638313968325,282.00401656073336,284.6105522173594,216.0
2023-01-01 18:00:00,-1.2084224981822926,0.6573707765771414,282.2924001971768,283.5401451973158,99540.16808201178,3.469446951953614e-18,18.00866874570489,281.78503268610166,284.4297383343991,217.0
2023-01-01 19:00:00,-1.1695378325086534,0.7904766871303519,282.28242743259585,283.57446975389576,99541.76489848457,3.469446951953614e-18,18.980544348184754,281.53551751887073,284.2320488024115,227.0
2023-01-01 20:00:00,-1.0787075077212962,0.8722182468243573,282.1568662785379,282.9044882754098,99487.27353634976,3.469446951953614e-18,18.73486575722326,281.3415650735062,284.0345943073186,244.0
2023-01-01 21:00:00,-0.6905612418943009,0.7191395956248002,282.0214795593762,282.693072995262,99470.73983245414,8.30803075385603e-07,16.48040339310631,281.2386894247713,283.8118968497533,251.0
2023-01-01 22:00:00,0.5049152490346559,0.7525188842135817,281.96403496339593,283.1474059492122,99433.1813783331,1.730839740413888e-07,17.5606666092457,281.09477633425183,283.4066227325187,247.0
2023-01-01 23:00:00,0.6982101698265998,0.7030873792233782,281.89658080296556,283.11950181328746,99391.91365261377,3.469446951953614e-18,17.86415192749224,281.07736010036734,283.218217157865,226.0
2023-01-02 00:00:00,0.637820909194023,0.6720110559253215,281.85245775967263,283.24226590054155,99455.7696780215,3.469446951953614e-18,18.74209159813389,281.1941264295689,283.01862382703183,237.0
2023-01-02 01:00:00,0.8849940492015432,0.7836774562720209,281.7838996031632,282.9465737800346,99460.31062486606,3.469446951953614e-18,23.290758451376306,281.2045855713752,282.83623519687814,273.0
2023-01-02 02:00:00,1.0366805618944093,0.9316292680743692,281.84977136921356,283.0062272488699,99564.08706209416,3.469446951953614e-18,22.167140189773086,281.2654836307475,282.6820039866889,274.0
2023-01-02 03:00:00,0.8112714208863443,0.840086397768052,281.59162028606085,282.69300244118887,99656.17014535988,3.469446951953614e-18,37.59431053397091,281.3123499875164,282.57238277908095,263.0
2023-01-02 04:00:00,0.3870679934273554,0.5723666827212756,282.30697294542034,283.6412491841176,99737.70758650303,7.961862805781399e-07,94.38942009153278,281.32577059419407,282.5307342413707,300.0
