time,u10,v10,d2m,t2m,sp,tp,blh,t_level1,t_level2,t_level1_minus_t2m,t_level2_minus_t2m,Raw Conc.
2023-08-13 13:00:00,0.3198304661251051,3.383807518260884,299.14681393718223,305.55192242717027,97375.31741600148,6.923358961869754e-08,388.5678552451532,295.40739503391313,301.9001012157335,-10.144527393257135,-3.6518212114367543,23.0
2023-08-13 14:00:00,0.6971984940685797,4.107815939659273,299.1119644609534,305.53036815782764,97438.57463523188,1.1769710234614419e-06,477.0518901162887,295.36377218628877,301.5729533622399,-10.166595971538868,-3.957414795587738,26.0
2023-08-13 15:00:00,1.2129715478304017,4.373671349470702,298.4466228239752,304.7500753859959,97526.91517988945,4.188632171722355e-06,534.287775969399,295.34743712211906,301.00430509961893,-9.402638263876838,-3.745770286376967,29.0
2023-08-13 16:00:00,1.8054633465754049,4.278948193762906,298.16480942486123,304.5725966150259,97584.1677038419,9.692702546129971e-06,560.304416168127,295.40582028671986,300.4039973673049,-9.166776328306014,-4.168599247720977,29.0
2023-08-13 17:00:00,2.0544912254726286,3.8674028130596647,297.948168594281,303.8565080497465,97580.0259611155,1.0004253699398799e-05,549.1441048816567,295.4571288407952,300.1614627958415,-8.399379208951302,-3.6950452539049934,48.0
2023-08-13 18:00:00,1.987136966352145,3.3523884917945646,297.73391975520525,303.6040655760709,97625.86790068923,1.644297753361124e-05,520.5478394778337,295.33559126263486,299.7679640270227,-8.268474313436059,-3.8361015490482373,30.0
2023-08-13 19:00:00,1.8143090243570676,2.9839140452785706,297.63838729449765,303.3719426754582,97653.08031474681,1.883153637533525e-05,496.377401631772,295.0090780087566,299.21064454271794,-8.362864666701569,-4.161298132740228,28.0
2023-08-13 20:00:00,1.6919870490508317,2.706694598407554,297.43142482954374,302.8988423380543,97670.52886141333,2.1427795985904946e-05,467.69081321656574,294.67093042859915,298.6470495733292,-8.227911909455145,-4.25179276472511,23.0
2023-08-13 21:00:00,1.300663083727492,2.286581638497745,297.29408771730914,302.68185328612884,97633.53594645977,3.63476345479789e-05,425.55693486667485,294.42275497166696,298.13962842173277,-8.25909831446188,-4.542224864396076,19.0
2023-08-13 22:00:00,0.19656166607097947,1.5843965548543208,296.9145338653294,301.31172846289195,97686.7132617055,5.157902426332124e-05,204.35949291043013,294.0960536882731,298.8290386407623,-7.215674774618833,-2.4826898221296574,27.0
2023-08-13 23:00:00,0.044888123580139376,1.533799859092024,297.0365990318038,300.8741521013112,97712.22905826071,9.765397815223095e-05,147.28257555735368,293.95529009214033,298.51843738464356,-6.91886200917088,-2.3557147166676486,29.0
2023-08-14 00:00:00,-0.45687711199371406,1.3341135770087476,297.0442166047493,301.0363206384111,97750.51938659848,7.951477767305068e-05,116.69559098265148,293.7268577343485,298.1255497117505,-7.3094629040625705,-2.9107709266605752,27.0
2023-08-14 01:00:00,-0.9944401051590432,1.5532516909226117,297.2114352108571,301.0316287925478,97853.61385012465,7.736853639497997e-05,123.86001224554239,293.4704794897974,297.7789643070796,-7.56114930275038,-3.2526644854681876,26.0
2023-08-14 02:00:00,-0.9013140546131023,1.9014381098774573,297.59014266584285,301.89658645214104,97910.71667253274,3.9116978132586973e-05,203.96929750125602,293.30797498092073,297.59333216778134,-8.588611471220304,-4.303254284359696,30.0
2023-08-14 03:00:00,-0.2469673624065962,2.077573830237725,297.7357965485398,302.3823865227092,97946.36227358737,6.996054230615479e-05,330.35286794865243,293.2804991679504,297.54529062653984,-9.101887354758844,-4.837095896169387,32.0
2023-08-14 04:00:00,0.17315045141423535,1.9620965706599447,298.0404258666209,302.7695872760717,97970.19808614509,3.828617505720439e-05,494.1157134267443,293.3007123408798,297.5427287243896,-9.468874935191934,-5.226858551682142,35.0
2023-08-14 05:00:00,-0.2177844078483278,1.9489093527451988,298.1196559852278,304.75765994885785,98005.54428411109,1.0108104083821339e-05,681.9658995804258,293.30510753080756,297.6361323862749,-11.452552418050288,-7.121527562582969,30.0
2023-08-14 06:00:00,-0.7858792565826186,2.1338045660862592,298.1249551664073,305.2343938210281,98003.51499651022,3.053201302030291e-05,879.2783244065786,293.3057421304227,298.02887903703123,-11.92865169060542,-7.205514783996875,29.0
2023-08-14 07:00:00,-1.2978909517569306,2.2852108258246955,298.11248001071385,305.2962697431672,97954.56259151548,1.7585331762262202e-05,1061.1924822521767,293.2534229177008,298.5380159579577,-12.042846825466427,-6.75825378520949,36.0
2023-08-14 08:00:00,-1.631964445337961,2.393587275756073,298.21643964149183,306.70050746076464,97910.89964108687,7.684928447289412e-06,1176.2748375153453,293.13665658849925,298.9181646311673,-13.563850872265391,-7.782342829597326,26.0
2023-08-14 09:00:00,-1.7468544948833569,2.6490930498859693,298.32124566926353,306.65263652214287,97859.53537787797,1.0211954468243427e-05,1169.3163527184072,293.1449298871867,299.1540476585156,-13.50770663495615,-7.498588863627276,28.0
2023-08-14 10:00:00,-1.5280601569084997,1.872596211236473,298.64935330395934,305.31115665259864,97730.74214924242,3.776692313508987e-05,1080.5721875744891,294.1605008047527,300.09729772363534,-11.15065584784594,-5.213858928963305,24.0
2023-08-14 11:00:00,-1.3976577457401305,1.7651656220494998,298.7871320146255,305.27891344117603,97745.74557068493,3.0289695456649162e-05,810.4521897328159,294.1333070360558,300.0197120447517,-11.145606405120247,-5.2592013964243165,19.0
2023-08-14 12:00:00,-1.3523917406697499,1.6693595243299957,298.92667711901834,305.10259881241274,97723.82261119355,2.364327085359089e-05,652.5711787559776,294.00013513161616,299.8043477382957,-11.102463680796575,-5.298251074117047,27.0
2023-08-14 13:00:00,-1.2386041582965552,1.1885469792575072,298.98235532127205,304.9153835793502,97745.64576965538,4.846351273097643e-07,330.11802811905693,293.7650277260199,299.5847057603592,-11.150355853330268,-5.330677818990978,27.0
2023-08-14 14:00:00,-1.451445173541526,0.9501352391605519,299.01812479423353,303.6244909802434,97829.41210045847,1.0385038442631157e-07,143.1096524314641,293.5367598940543,299.3600574965694,-10.087731086189137,-4.264433483673997,28.0
2023-08-14 15:00:00,-1.8483592959380275,1.148574081711353,299.0319247452217,303.07406337868395,97886.86422647003,6.231023065402205e-07,166.9657661979133,293.3930583367399,299.1661990659627,-9.681005041944047,-3.9078643127212445,38.0
2023-08-14 16:00:00,-1.8971402257574264,1.409919517828444,299.02187838090225,302.7742085678621,97946.54524214151,1.3846717923392562e-07,178.80530652998266,293.3074814034423,298.97896867578174,-9.466727164419808,-3.7952398920803603,40.0
2023-08-14 17:00:00,-1.6092017407825114,1.6182145034984785,299.30641497034446,302.0458435938571,97969.94858357123,3.469446951953614e-18,184.86056121309167,293.28308457379023,298.8375234726547,-8.76275902006688,-3.208320121202405,36.0
2023-08-14 18:00:00,-1.1338697769374366,1.477980367045405,299.18350340687624,301.72641002774037,97987.21416168354,3.469446951953614e-18,151.8782103765152,293.2664204579682,298.7475748531189,-8.459989569772176,-2.9788351746214516,39.0
2023-08-14 19:00:00,-0.7827534378943773,1.4171985331223425,299.1443115460696,301.62276609430575,97944.10011691751,3.469446951953614e-18,123.49872020001087,293.21238547591616,298.68592467568413,-8.410380618389581,-2.9368414186216114,35.0
2023-08-14 20:00:00,-0.7151397747333761,1.296580726020623,298.7919527975041,300.8589476985508,97936.38217063226,3.469446951953614e-18,105.08366463926704,293.1732753366668,298.68355080304946,-7.685672361884031,-2.1753968955013647,35.0
2023-08-14 21:00:00,-0.7925200000198775,1.2399250382434426,298.7997175699267,300.72634131809434,97890.59013157323,5.64253755364139e-06,87.4200965332289,293.11658443770665,298.6540301690968,-7.6097568803876925,-2.072311148997528,36.0
2023-08-14 22:00:00,-0.9063075823930725,0.8912862511064911,299.167017065429,300.6659470314912,97832.73880144354,1.523138971537733e-06,81.82368274794497,293.38751146602897,299.0102050790645,-7.278435565462246,-1.6557419524266948,39.0
2023-08-14 23:00:00,-0.7766704131442317,0.8314228616743726,299.1867417953748,300.580929373364,97890.32399549444,1.2462046130768207e-06,75.20842539426206,293.32614333286773,298.93609794621983,-7.254786040496242,-1.6448314271441404,36.0
2023-08-15 00:00:00,-0.48582660291551605,0.8141506219939353,299.3375108599046,301.29066807206135,97867.0038215894,1.730839740413888e-07,70.09253002953507,293.28296705534297,298.78917638345035,-8.007701016718386,-2.5014916886109972,43.0
2023-08-15 01:00:00,-0.20902952148084725,1.2997610114220999,299.2901862279824,301.33663405070854,97946.67831018091,3.469446951953614e-18,76.6861098604861,293.2709096626537,298.7204280918009,-8.065724388054832,-2.616205958907642,46.0
2023-08-15 02:00:00,0.49180237478647393,1.2909878103145764,299.41247219367256,302.0698672557595,98013.11252885203,3.469446951953614e-18,146.5202493412821,293.27953551668276,298.7299235823398,-8.790331739076748,-3.339943673419725,40.0
2023-08-15 03:00:00,0.9918166330868311,1.1819670784268648,299.2395864076923,302.56974286391795,98011.01670723148,3.469446951953614e-18,255.56541452361876,293.33145516668407,298.81324416145,-9.238287697233886,-3.7564987024679795,46.0
2023-08-15 04:00:00,1.1933087215591418,0.7936021400249073,299.3241157074787,303.0577301107533,98062.71364053889,4.1886321717225055e-06,392.5203902232685,293.4447664535361,298.89155845470674,-9.612963657217222,-4.166171656046572,46.0
2023-08-15 05:00:00,1.2852674539227522,-0.05084588282770578,299.37725471875063,305.00770358404674,98042.85323565824,0.00012527818040869248,638.7734355371272,293.62717858737915,298.77552073987823,-11.380524996667589,-6.232182844168506,41.0
2023-08-15 06:00:00,0.8726075062668116,-0.5425152642707541,298.7028603139242,306.31796327622897,98028.73138997678,9.554235366896724e-05,1049.0386178404945,293.79680471416,299.4249746868381,-12.52115856206899,-6.892988589390882,34.0
2023-08-15 07:00:00,0.6171853177708209,-0.6469711899572077,298.54543047305066,306.38844679529046,97981.12629888095,3.658995211163175e-05,1282.2887624356722,293.9239831777892,300.1377945805626,-12.46446361750128,-6.250652214727836,40.0
2023-08-15 08:00:00,0.6335796531315547,-0.7883431009289129,298.0218787324927,306.1379445586261,97928.69749135683,1.8312284453220737e-05,1299.5982643370896,294.24151802229653,300.56683092783385,-11.896426536329557,-5.57111363079224,18.0
2023-08-15 09:00:00,0.7237744380196428,-0.7316737050250026,298.0926816810295,306.06661439068705,97827.89845151034,1.4123652281501853e-05,1287.1589792094376,294.50581701019325,300.85684295199206,-11.560797380493796,-5.209771438694986,29.0
2023-08-15 10:00:00,0.17038779838271917,-1.4351884769612866,299.595735542796,306.086263700055,97773.24075432622,7.134521409845845e-05,1077.9383685625646,294.85639804207113,301.2572753091994,-11.22986565798385,-4.8289883908556135,28.0
2023-08-15 11:00:00,0.4507646555765358,-1.4968887553752928,299.60368431456527,306.0955415606723,97776.13498418321,7.813010588074658e-05,841.2017557280072,294.9616475634408,300.78311187817866,-11.133893997231496,-5.312429682493644,34.0
2023-08-15 12:00:00,0.6348637031321185,-1.159668837804852,299.67367766597744,305.96649816090905,97737.04624760906,0.000222585990612845,532.6764134463282,295.10328079608337,300.5872791376579,-10.863217364825687,-5.379219023251153,26.0
2023-08-15 13:00:00,0.34542067472219984,-0.31517969057204753,299.7219222946322,305.5699489928562,97774.22213111683,0.0001347977989807818,80.06419048620626,295.1842275025588,300.59383666701524,-10.385721490297385,-4.9761123258409725,38.0
2023-08-15 14:00:00,0.6226587430257493,0.03818840028692883,299.8617617979794,304.51026209141145,97804.51174358556,0.00010097719045376053,32.377253396495135,295.27415261840525,300.6726915451294,-9.236109473006195,-3.837570546282052,45.0
